location,state,checking_amt,duration,credit_history,purpose,credit_amount,savings,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class,verified,application_date,works_outside_US
"Bexar, TX",Texas,155.74,36,'existing paid','used car',9398,93.87,<1,1,'male mar/wid',none,4,car,28,none,rent,1,'high qualif/self emp/mgmt',1,yes,yes,Good,?,02/24/1995,yes
"Salt Lake, UT",Utah,-9594.86,24,'critical/other existing credit','used car',6419,16.26,>=7,2,'female div/dep/mar',none,4,'no known property',44,none,'for free',2,'high qualif/self emp/mgmt',2,yes,no,Bad,?,02/25/1995,no
"Accomack, VA",Virginia,7720.46,?,'critical/other existing credit','used car',?,40.81,>=7,4,'male single',none,4,'no known property',56,none,'for free',1,skilled,1,none,no,Good,?,02/26/1995,no
"Prince William, VA",Virginia,0,48,'critical/other existing credit',business,7629,0,>=7,4,'male div/sep',none,2,car,46,bank,own,2,'high qualif/self emp/mgmt',2,none,no,Bad,?,02/27/1995,no
"Russell, VA",Virginia,61.96,48,'existing paid',furniture/equipment,9960,64.33,<1,1,?,none,2,car,26,none,own,1,skilled,1,?,yes,Good,?,02/28/1995,yes
"Newport News, VA",Virginia,0,12,'existing paid','used car',4675,0,?,1,'female div/dep/mar',none,4,car,20,none,rent,1,skilled,1,none,no,bad,?,03/01/1995,no
"Norfolk, VA",Virginia,0,10,'existing paid',?,1287,0,?,4,'male single','co applicant',2,'life insurance',45,none,?,1,'unskilled resident',1,?,yes,Good,?,03/02/1995,yes
"Portsmouth, VA",Virginia,0,18,?,furniture/equipment,2515,0,1<=X<4,3,'male single',none,4,'real estate',43,none,own,?,skilled,1,yes,yes,Bad,?,03/03/1995,yes
"Richmond, VA",Virginia,0.31,21,'critical/other existing credit',furniture/equipment,2745,1787.08,4<=X<7,3,'male single',none,2,car,32,none,own,2,skilled,1,yes,Unknown,Good,?,03/04/1995,Unknown
"Kitsap, WA",Washington,0,6,'existing paid','new car',672,0,unemployed,1,'female div/dep/mar',none,4,'real estate',54,none,own,1,'unemp/unskilled non res',?,yes,no,good,?,03/05/1995,no
"Pierce, WA",Washington,192.02,36,?,radio/tv,3804,0,1<=X<4,4,'female div/dep/mar',none,1,car,42,none,own,1,skilled,?,yes,yes,Good,?,03/06/1995,yes
"Spokane, WA",Washington,5659.69,?,'critical/other existing credit','new car',1344,0,4<=X<7,4,'male single',none,?,'real estate',37,bank,own,2,'unskilled resident',2,none,no,Good,?,03/07/1995,no
"Milwaukee, WI",Wisconsin,-8464.44,10,'critical/other existing credit',?,1038,38.82,4<=X<7,4,'male single','co applicant',?,?,49,none,?,2,skilled,1,yes,yes,Bad,?,03/08/1995,yes
"Anchorage, AK",Alaska,0,48,'critical/other existing credit','new car',?,0,1<=X<4,2,'male single',none,2,'no known property',44,bank,?,1,skilled,1,none,yes,Bad,?,03/09/1995,yes
"Maricopa, AZ",Arizona,0,6,?,furniture/equipment,1543,0,1<=X<4,4,'male div/sep',none,2,'real estate',33,none,own,1,skilled,1,none,yes,Good,?,03/10/1995,yes
"Maricopa, AZ",Arizona,0,?,'existing paid','used car',4811,0,4<=X<7,2,'female div/dep/mar',none,?,'life insurance',24,stores,rent,1,'unskilled resident',1,none,no,good,?,03/11/1995,no
"Pima, AZ",Arizona,-8135.03,12,'existing paid',radio/tv,727,473.67,<1,4,'male mar/wid',none,3,'no known property',33,none,own,1,'unskilled resident',1,yes,yes,bad,?,03/12/1995,yes
"Alameda, CA",California,0,8,?,furniture/equipment,1237,0,1<=X<4,3,'female div/dep/mar',none,4,'real estate',24,none,own,1,skilled,1,none,no,Bad,?,03/13/1995,no
"Kern, CA",California,0,9,'existing paid','new car',276,0,1<=X<4,4,'male mar/wid',none,4,'real estate',?,none,rent,?,'unskilled resident',?,none,no,bad,?,03/14/1995,no
"Los Angeles, CA",California,192.16,48,?,other,5381,0,unemployed,3,?,none,4,'no known property',40,bank,'for free',1,'unemp/unskilled non res',1,yes,no,Good,?,03/15/1995,no
"Los Angeles, CA",California,0,24,'existing paid',furniture/equipment,5511,0,1<=X<4,4,'male single',none,1,car,25,stores,?,1,skilled,1,none,no,Good,?,03/16/1995,no
"San Francisco, CA",California,797.21,24,?,furniture/equipment,?,98.87,?,2,?,none,4,car,26,none,own,1,skilled,1,none,yes,bad,?,03/17/1995,yes
"Los Angeles, CA",California,137.41,12,'existing paid',?,685,38.95,4<=X<7,2,'male mar/wid',none,3,car,25,bank,own,1,'unskilled resident',1,none,yes,good,?,03/18/1995,yes
"Sacramento, CA",California,4365.37,4,'existing paid','new car',1494,0,<1,1,'male single',none,?,?,29,none,own,1,'unskilled resident',2,?,yes,Good,?,03/19/1995,yes
"Sacramento, CA",California,-5992.61,36,'all paid',furniture/equipment,2746,27.23,>=7,4,'male single',?,4,car,31,bank,own,1,?,1,none,no,Good,?,03/20/1995,no
"San Bernardino, CA",California,-3145.9,12,'existing paid',furniture/equipment,708,0,?,2,'male single',guarantor,3,'life insurance',38,?,own,1,'unskilled resident',2,?,no,Good,?,03/21/1995,no
"San Diego, CA",California,77.88,24,'existing paid',furniture/equipment,?,0,1<=X<4,1,'female div/dep/mar',none,4,'life insurance',48,none,own,1,?,1,yes,Unknown,Good,?,03/22/1995,Unknown
"San Francisco, CA",California,0,12,?,education,701,0,1<=X<4,4,'male single',none,2,car,32,none,own,2,skilled,1,none,yes,Bad,?,03/23/1995,yes
"El Paso, CO",Colorado,-3417.74,15,'delayed previously',furniture/equipment,3643,16.7,>=7,1,'female div/dep/mar',none,?,'life insurance',27,none,own,2,'unskilled resident',1,none,yes,Bad,?,03/24/1995,yes
"Denver, CO",Colorado,122,30,'critical/other existing credit',?,4249,90.83,unemployed,4,'male mar/wid',none,2,car,28,none,?,2,'high qualif/self emp/mgmt',1,none,yes,Good,?,03/25/1995,yes
"Hartford, CT",Connecticut,-4562.14,24,'existing paid',radio/tv,1938,17.04,<1,4,'male div/sep',none,3,'life insurance',32,none,?,1,skilled,1,none,yes,Bad,?,03/26/1995,yes
District of Columbia,District of Columbia,-3923.01,24,'existing paid','used car',2910,74.32,4<=X<7,2,?,?,1,'no known property',34,none,'for free',1,'high qualif/self emp/mgmt',1,yes,no,good,?,03/27/1995,no
"Chatham, GA",Georgia,-7400.92,18,?,furniture/equipment,2659,5806.39,1<=X<4,4,'male single',none,2,car,28,none,?,1,skilled,1,none,yes,good,?,03/28/1995,yes
"Clayton, GA",Georgia,0,18,'critical/other existing credit','new car',1028,0,1<=X<4,4,'female div/dep/mar',?,3,'real estate',36,none,own,2,skilled,1,none,no,Bad,?,03/29/1995,no
"De Kalb, GA",Georgia,-3324.64,8,'critical/other existing credit','new car',3398,61.33,4<=X<7,1,?,none,4,'real estate',39,none,own,2,'unskilled resident',1,none,no,Bad,?,03/30/1995,no
"Fulton, GA",Georgia,0,12,'critical/other existing credit',furniture/equipment,?,0,>=7,2,'male single',none,4,'life insurance',49,none,rent,1,skilled,1,yes,no,Bad,?,03/31/1995,no
"Fulton, GA",Georgia,0,24,'existing paid','new car',1525,0,4<=X<7,4,'female div/dep/mar',?,3,car,34,none,own,1,skilled,2,yes,yes,Good,?,04/01/1995,yes
"Cook, IL",Illinois,6300.38,36,'existing paid',radio/tv,4473,46.6,>=7,4,'male single',none,2,car,31,none,own,1,skilled,?,none,yes,Good,?,04/02/1995,yes
"Marion, IN",Indiana,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Unknown,Good,?,04/03/1995,Unknown
"Jefferson, KY",Kentucky,94.48,6,'existing paid',radio/tv,1068,73.19,>=7,4,'male single',none,4,car,28,none,own,1,skilled,2,none,yes,good,?,04/04/1995,yes
"Caddo, LA",Louisiana,-8908.55,24,'critical/other existing credit','used car',6615,58.88,?,2,'male single',none,4,'no known property',75,none,?,2,'high qualif/self emp/mgmt',1,yes,no,bad,?,04/05/1995,no
"East Baton Rouge, LA",Louisiana,0,18,'critical/other existing credit',education,1864,0,1<=X<4,4,?,none,2,'real estate',30,none,own,2,skilled,1,?,yes,good,?,04/06/1995,yes
"Jefferson, LA",Louisiana,106.45,60,'existing paid','new car',7408,479.08,<1,4,?,none,2,?,24,none,own,1,'high qualif/self emp/mgmt',1,none,no,Good,?,04/07/1995,no
"Orleans, LA",Louisiana,0,48,'critical/other existing credit','used car',11590,0,1<=X<4,2,'female div/dep/mar',none,4,car,24,bank,rent,?,'unskilled resident',1,none,yes,Good,?,04/08/1995,yes
"Suffolk, MA",Massachusetts,-596.17,24,'no credits/all paid',furniture/equipment,4110,95.01,?,3,'male single',none,?,'no known property',2309,bank,?,2,skilled,2,none,no,bad,?,04/09/1995,no
"Anne Arundel, MD",Maryland,-1018.74,6,'critical/other existing credit',furniture/equipment,3384,98.78,1<=X<4,1,'male div/sep',none,4,'real estate',44,none,rent,1,'high qualif/self emp/mgmt',1,?,yes,bad,?,04/10/1995,yes
"Baltimore city, MD",Maryland,145.59,13,'existing paid',radio/tv,2101,66.57,<1,2,'female div/dep/mar',guarantor,4,'life insurance',23,none,own,1,'unskilled resident',1,none,yes,Good,?,04/11/1995,yes
"Saginaw, MI",Michigan,-6090.13,15,'existing paid','domestic appliance',?,0,1<=X<4,4,'female div/dep/mar',none,2,car,24,?,rent,1,skilled,1,none,no,Bad,?,04/12/1995,no
"Wayne, MI",Michigan,-5498.76,24,'existing paid',furniture/equipment,4169,68.48,1<=X<4,4,'male single',?,?,'life insurance',28,?,own,1,skilled,1,none,no,Good,?,04/13/1995,no
"Greene, MO",Missouri,103.39,10,'existing paid',furniture/equipment,?,93.87,1<=X<4,4,'male div/sep',none,2,car,31,?,own,1,'unskilled resident',1,none,yes,good,?,04/14/1995,yes
"Jackson, MO",Missouri,163.9,24,'critical/other existing credit',education,5743,45.64,<1,2,'female div/dep/mar',none,4,'no known property',?,none,'for free',2,skilled,1,yes,yes,Bad,?,04/15/1995,yes
"Rolla, MO",Missouri,-6405.45,21,'existing paid',furniture/equipment,?,59.79,4<=X<7,1,'female div/dep/mar',none,4,car,?,none,rent,1,'unskilled resident',1,none,no,Good,?,04/16/1995,no
"Forrest, MS",Mississippi,193.31,18,'existing paid',radio/tv,3213,0,<1,1,'male mar/wid',none,3,'real estate',25,none,rent,1,skilled,?,none,no,good,?,04/17/1995,no
"Hinds, MS",Mississippi,116.75,18,'existing paid',?,4439,65.84,>=7,1,'male single','co applicant',1,'real estate',33,bank,own,1,'high qualif/self emp/mgmt',1,yes,yes,Good,?,04/18/1995,yes
"Nash, NC",North Carolina,2557.93,10,'existing paid','new car',3949,0.75,<1,1,'male single',?,?,'life insurance',37,none,own,1,?,2,none,no,Good,?,04/19/1995,no
"Guilford, NC",North Carolina,0,15,'critical/other existing credit',radio/tv,1459,0,1<=X<4,4,'female div/dep/mar',none,2,car,43,none,own,1,'unskilled resident',1,none,yes,Good,?,04/20/1995,yes
"Mecklenburg, NC",North Carolina,134.6,?,'critical/other existing credit',radio/tv,882,0,<1,4,'male single',?,4,'real estate',23,none,own,2,skilled,?,none,yes,Bad,?,04/21/1995,yes
"Hillsborough, NH",New Hampshire,155.32,24,'existing paid',radio/tv,3758,623.93,unemployed,1,'female div/dep/mar',none,?,'no known property',23,none,rent,1,'unemp/unskilled non res',1,none,no,bad,?,04/22/1995,no
"Camden, NJ",New Jersey,0,6,'delayed previously',business,1743,0,1<=X<4,?,'male single',none,2,'real estate',34,none,?,2,'unskilled resident',?,none,yes,good,?,04/23/1995,yes
"Mercer, NJ",New Jersey,68.16,9,'critical/other existing credit',education,1136,0,>=7,4,'male single',none,3,?,32,none,'for free',?,?,2,?,no,good,?,04/24/1995,no
"Passaic, NJ",New Jersey,0,9,'existing paid','domestic appliance',1236,0,<1,1,'female div/dep/mar',none,4,'real estate',23,none,rent,1,skilled,1,yes,yes,bad,?,04/25/1995,yes
"Passaic, NJ",New Jersey,9.39,9,'existing paid',furniture/equipment,?,83.12,1<=X<4,1,'female div/dep/mar',none,?,?,29,none,own,1,skilled,1,none,yes,Bad,?,04/26/1995,yes
"Essex, NJ",New Jersey,0,18,'critical/other existing credit','used car',3229,0,unemployed,2,'male single',none,?,'no known property',38,none,?,1,'high qualif/self emp/mgmt',1,yes,yes,Good,?,04/27/1995,yes
"Bernalillo, NM",New Mexico,-5039.28,12,'no credits/all paid',radio/tv,?,84.14,1<=X<4,4,'male single',none,2,?,28,none,rent,?,skilled,1,yes,no,Good,?,04/28/1995,no
"Clark, NV",Nevada,0,10,'existing paid',education,727,0,>=7,4,'male single',none,4,'no known property',?,none,'for free',1,skilled,1,yes,yes,good,?,04/29/1995,yes
"Washoe, NV",Nevada,0,24,'existing paid','new car',1246,0,<1,4,'male single',none,2,'real estate',23,stores,own,1,'unskilled resident',1,none,yes,Good,?,04/30/1995,yes
"Erie, NY",New York,0,12,'critical/other existing credit',radio/tv,2331,0,>=7,1,'male single',?,4,'real estate',49,none,own,1,skilled,1,yes,no,Good,?,05/01/1995,no
"Erie, NY",New York,0,36,'delayed previously',radio/tv,?,0,1<=X<4,4,'male single',none,2,?,?,none,own,2,'high qualif/self emp/mgmt',1,yes,no,Good,?,05/02/1995,no
"Monroe, NY",New York,0,12,'existing paid',radio/tv,776,0,1<=X<4,4,'male mar/wid',none,2,'real estate',28,none,?,1,skilled,1,none,no,Bad,?,05/03/1995,no
"New York, NY",New York,-4887.82,30,'existing paid',furniture/equipment,2406,32.57,?,4,'female div/dep/mar',none,4,'real estate',23,none,?,1,skilled,1,none,no,Good,?,05/04/1995,no
"Onondaga, NY",New York,85.71,18,'existing paid',education,1239,0,1<=X<4,4,'male single',none,4,'no known property',61,?,?,1,skilled,1,?,no,Bad,?,05/05/1995,no
"Suffolk, NY",New York,0,12,'existing paid',radio/tv,3399,0,?,2,'male single',none,3,?,37,none,own,1,'high qualif/self emp/mgmt',1,none,Unknown,Good,?,05/06/1995,Unknown
"Mahoning, OH",Ohio,9712.82,12,?,'new car',2247,5.02,1<=X<4,2,'female div/dep/mar',none,2,car,36,stores,own,2,skilled,1,?,no,bad,?,05/07/1995,no
"Summit, OH",Ohio,0,6,'existing paid',furniture/equipment,1766,0,1<=X<4,?,'male mar/wid',?,2,'life insurance',21,none,rent,?,skilled,1,none,yes,Good,?,05/08/1995,yes
"Hamilton, OH",Ohio,-3712.31,18,'existing paid',furniture/equipment,2473,0,unemployed,4,'male single',none,?,car,25,none,?,1,'unemp/unskilled non res',1,none,yes,Good,?,05/09/1995,yes
"Cuyahoga, OH",Ohio,0,12,?,business,1542,0,4<=X<7,2,'male single',none,4,car,36,?,own,1,skilled,1,yes,no,Good,?,05/10/1995,no
"Cuyahoga, OH",Ohio,0,18,'critical/other existing credit','used car',3850,0,4<=X<7,3,'male single',none,1,?,27,none,own,2,skilled,?,none,Unknown,Good,?,05/11/1995,Unknown
"Franklin, OH",Ohio,0,18,'existing paid',furniture/equipment,3650,0,<1,1,'female div/dep/mar',none,4,car,?,none,rent,1,skilled,1,none,no,good,?,05/12/1995,no
"Dauphin, PA",Pennsylvania,-1319.16,36,'existing paid',furniture/equipment,3446,35.38,>=7,4,'male single',?,2,car,?,none,own,?,skilled,2,none,yes,Good,?,05/13/1995,yes
"Philadelphia, PA",Pennsylvania,94.62,18,'existing paid',furniture/equipment,3001,0,4<=X<7,?,'female div/dep/mar',?,4,'real estate',40,none,rent,1,skilled,1,?,no,Bad,?,05/14/1995,no
"Charleston, SC",South Carolina,0,36,'existing paid','new car',3079,0,1<=X<4,4,'male single',none,4,'real estate',36,none,own,1,skilled,1,none,yes,good,?,05/15/1995,yes
"Greenville, SC",South Carolina,0,18,'critical/other existing credit',radio/tv,6070,0,>=7,3,'male single',none,4,car,33,none,own,2,skilled,1,yes,no,Bad,?,05/16/1995,no
"Greenville, SC",South Carolina,0,10,'critical/other existing credit',furniture/equipment,2146,0,<1,?,'female div/dep/mar',none,3,'real estate',23,?,rent,2,skilled,1,none,no,Good,?,05/17/1995,no
"Horry, SC",South Carolina,0,60,'critical/other existing credit','new car',13756,0,>=7,2,'male single',none,4,'no known property',63,bank,'for free',1,'high qualif/self emp/mgmt',1,yes,Unknown,Good,?,05/18/1995,Unknown
"Jasper, SC",South Carolina,17.17,60,'all paid',other,14782,179.18,>=7,3,'female div/dep/mar',none,?,'no known property',60,bank,'for free',?,'high qualif/self emp/mgmt',?,yes,yes,good,?,05/19/1995,yes
"Davidson, TN",Tennessee,-1282.34,48,'all paid',business,7685,17.26,4<=X<7,2,'female div/dep/mar',guarantor,4,car,37,none,rent,1,skilled,1,none,no,bad,?,05/20/1995,no
"Shelby, TN",Tennessee,0,18,'delayed previously',radio/tv,?,0,?,2,'male mar/wid',?,3,'real estate',34,none,own,?,skilled,1,?,Unknown,Bad,?,05/21/1995,Unknown
"El Paso, TX",Texas,0,7,'delayed previously',?,?,0,?,3,'male single',none,4,'no known property',36,none,'for free',1,skilled,1,none,Unknown,Bad,?,05/22/1995,Unknown
"Harris, TX",Texas,40.41,36,'existing paid','new car',14318,19.21,>=7,?,'male single',none,?,'no known property',57,?,'for free',1,'high qualif/self emp/mgmt',1,?,yes,Bad,?,05/23/1995,yes
"Nueces, TX",Texas,0,6,'critical/other existing credit','new car',362,0,1<=X<4,4,'female div/dep/mar',none,4,car,?,none,own,2,'unskilled resident',1,none,yes,Good,?,05/24/1995,yes
"Tarrant, TX",Texas,-4951.09,20,'existing paid',furniture/equipment,2212,0,4<=X<7,4,'male single',none,?,car,39,none,own,1,skilled,1,yes,no,Good,?,05/25/1995,no
"Travis, TX",Texas,16.25,18,'existing paid','used car',12976,15.8,unemployed,?,?,?,4,?,38,none,'for free',1,'high qualif/self emp/mgmt',?,yes,no,Bad,?,05/26/1995,no
"Dallas, TX",Texas,0,22,'existing paid',?,1283,0,4<=X<7,4,'female div/dep/mar',none,4,'life insurance',25,none,rent,1,skilled,1,none,Unknown,bad,?,05/27/1995,Unknown
"Harris, TX",Texas,6548.27,12,'existing paid','new car',1330,41.97,<1,4,'male single',none,1,'real estate',26,none,own,1,skilled,1,none,no,Good,?,05/28/1995,no
"Bexar, TX",Texas,0,30,'delayed previously',business,4272,0,?,2,'male single',?,2,'life insurance',26,none,own,2,'unskilled resident',1,none,no,good,?,05/29/1995,no
"Prince William, VA",Virginia,0,18,'critical/other existing credit',radio/tv,2238,0,1<=X<4,2,'female div/dep/mar',none,1,car,25,?,own,2,?,1,none,Unknown,Good,?,05/30/1995,Unknown
"Norfolk, VA",Virginia,0,18,'existing paid',?,1126,0,?,4,?,none,2,'real estate',21,none,rent,1,skilled,1,yes,no,bad,?,05/31/1995,no
"Richmond, VA",Virginia,5.42,18,'critical/other existing credit',furniture/equipment,?,35.21,?,4,'male single',none,4,?,40,stores,own,?,?,?,yes,yes,Bad,?,06/01/1995,yes
"Milwaukee, WI",Wisconsin,7.52,15,'critical/other existing credit',business,2326,0,1<=X<4,2,'male single',none,4,car,27,bank,own,1,skilled,1,none,yes,Bad,?,06/02/1995,yes
"Maricopa, AZ",Arizona,0,9,'existing paid',business,1449,0,4<=X<7,3,'female div/dep/mar',none,2,car,27,none,own,2,skilled,1,none,no,Good,no,06/03/1995,no
"Alameda, CA",California,0,18,'existing paid','new car',1820,0,1<=X<4,2,'male mar/wid',none,?,?,30,none,own,1,'high qualif/self emp/mgmt',1,yes,no,good,?,06/04/1995,no
"Los Angeles, CA",California,94.64,12,'existing paid',furniture/equipment,983,7709.45,<1,1,?,none,4,'real estate',19,none,rent,1,'unskilled resident',1,?,yes,Bad,?,06/05/1995,yes
"Los Angeles, CA",California,-4316.81,36,'existing paid','new car',3249,58.43,4<=X<7,2,'male single',none,4,'no known property',39,bank,'for free',1,'high qualif/self emp/mgmt',2,yes,yes,Good,?,06/06/1995,yes
"Los Angeles, CA",California,-9454.08,6,'critical/other existing credit',radio/tv,1957,33.62,4<=X<7,1,'female div/dep/mar',none,4,car,31,?,own,1,skilled,1,none,yes,Bad,?,06/07/1995,yes
"Los Angeles, CA",California,0,9,'critical/other existing credit',furniture/equipment,2406,0,unemployed,2,'male single',none,3,car,31,none,own,?,'high qualif/self emp/mgmt',1,none,Unknown,good,?,06/08/1995,Unknown
"Sacramento, CA",California,83.64,39,'delayed previously',education,11760,450.89,4<=X<7,2,?,none,3,'no known property',32,none,rent,1,skilled,1,?,yes,good,?,06/09/1995,yes
"San Bernardino, CA",California,-6338.95,12,'existing paid',furniture/equipment,2578,83.42,unemployed,3,'female div/dep/mar',none,4,'no known property',55,none,'for free',1,'high qualif/self emp/mgmt',1,?,yes,Good,?,06/10/1995,yes
"San Diego, CA",California,-6143.29,36,'critical/other existing credit',furniture/equipment,2348,28.22,1<=X<4,3,'male mar/wid',?,?,'life insurance',46,none,own,2,skilled,?,yes,no,Good,?,06/11/1995,no
"San Francisco, CA",California,115.65,12,'existing paid','new car',1223,29.79,>=7,1,'male div/sep',none,1,'real estate',46,?,rent,2,skilled,1,none,yes,Bad,?,06/12/1995,yes
District of Columbia,District of Columbia,0,?,'critical/other existing credit',radio/tv,1516,0,1<=X<4,?,'female div/dep/mar',none,1,'real estate',43,none,own,2,'unskilled resident',1,none,no,Good,?,06/13/1995,no
"Chatham, GA",Georgia,0,18,'existing paid',radio/tv,1473,0,<1,3,'male mar/wid',?,4,'real estate',39,none,own,1,?,1,?,yes,Good,?,06/14/1995,yes
"De Kalb, GA",Georgia,22.83,18,'critical/other existing credit',business,?,0,1<=X<4,?,'male mar/wid',none,4,'real estate',28,?,own,2,skilled,1,none,no,good,?,06/15/1995,no
"De Kalb, GA",Georgia,0,?,'delayed previously',business,8648,0,<1,2,'male single',none,?,car,?,?,?,2,?,1,yes,no,Good,?,06/16/1995,no
"Fulton, GA",Georgia,0,14,'delayed previously','new car',802,0,?,4,'male single',none,2,car,27,none,own,2,'unskilled resident',1,?,yes,Good,?,06/17/1995,yes
"Fulton, GA",Georgia,195.71,18,'delayed previously','new car',2899,0,?,4,'male single',none,4,car,43,none,own,1,skilled,2,none,yes,Good,?,06/18/1995,yes
"Cook, IL",Illinois,195.91,24,?,radio/tv,2039,0,?,1,'male mar/wid',none,1,'life insurance',22,none,own,1,skilled,1,yes,no,Good,?,06/19/1995,no
"Marion, IN",Indiana,0,?,'critical/other existing credit','used car',2197,0,4<=X<7,4,?,none,4,car,43,?,own,2,skilled,2,yes,no,Bad,?,06/20/1995,no
"Jefferson, KY",Kentucky,-2070.55,15,'existing paid',radio/tv,?,76.64,<1,4,'male mar/wid',none,?,'real estate',27,?,own,1,?,1,none,no,Good,?,06/21/1995,no
"East Baton Rouge, LA",Louisiana,0,24,'existing paid',radio/tv,3235,0,>=7,3,'male div/sep',none,2,car,26,none,own,1,'high qualif/self emp/mgmt',1,yes,no,Bad,?,06/22/1995,no
"Orleans, LA",Louisiana,5427.63,12,'critical/other existing credit','new car',939,671.95,4<=X<7,4,'male mar/wid',none,2,?,28,none,own,3,skilled,1,yes,yes,Bad,?,06/23/1995,yes
"Suffolk, MA",Massachusetts,192.07,24,'existing paid',radio/tv,1967,37.69,>=7,4,'female div/dep/mar',none,4,?,20,?,own,1,skilled,1,?,yes,Good,?,06/24/1995,yes
"Baltimore city, MD",Maryland,0,33,'critical/other existing credit','used car',7253,0,4<=X<7,3,'male single',none,2,car,?,?,own,2,'high qualif/self emp/mgmt',1,yes,no,Bad,?,06/25/1995,no
"Wayne, MI",Michigan,0,12,'critical/other existing credit',business,2292,0,unemployed,4,'male single',none,2,car,42,stores,own,2,'high qualif/self emp/mgmt',1,yes,no,Bad,?,06/26/1995,no
"Jackson, MO",Missouri,0,?,'existing paid','new car',1597,0,1<=X<4,3,'male single',none,2,'no known property',40,none,?,1,?,2,none,yes,Bad,?,06/27/1995,yes
"Kansas City, MO",Missouri,-5613.36,24,?,'new car',1381,0,?,4,'female div/dep/mar',?,2,'life insurance',35,none,own,1,skilled,1,none,no,Good,?,06/28/1995,no
"Hinds, MS",Mississippi,0,36,'critical/other existing credit','used car',?,0,>=7,2,'male single',none,2,'life insurance',35,none,own,2,skilled,2,yes,no,bad,?,06/29/1995,no
"Mecklenburg, NC",North Carolina,-1850.94,12,'existing paid','new car',2579,37.56,<1,4,'male single',none,1,'real estate',33,?,own,1,'unskilled resident',2,none,no,Bad,?,06/30/1995,no
"Camden, NJ",New Jersey,-4803.59,18,'delayed previously',education,8471,0,?,1,'female div/dep/mar',?,2,car,23,none,rent,2,skilled,1,?,yes,Bad,?,07/01/1995,yes
"Mercer, NJ",New Jersey,0,21,'existing paid','new car',2782,0,4<=X<7,1,'female div/dep/mar',none,2,car,31,bank,own,1,'high qualif/self emp/mgmt',?,none,no,Good,?,07/02/1995,no
"Passaic, NJ",New Jersey,75.95,18,'existing paid','new car',1042,0,1<=X<4,4,'female div/dep/mar',none,?,'life insurance',33,?,own,1,skilled,1,none,no,good,?,07/03/1995,no
"Essex, NJ",New Jersey,0,15,'existing paid','new car',3186,0,?,2,'female div/dep/mar',none,3,car,20,none,rent,1,skilled,1,none,Unknown,Good,?,07/04/1995,Unknown
"Clark, NV",Nevada,141.44,12,'existing paid','used car',2028,0,1<=X<4,4,'male single',none,2,car,?,?,own,1,skilled,1,none,yes,good,?,07/05/1995,yes
"New York, NY",New York,24.74,12,'critical/other existing credit','new car',?,7.07,4<=X<7,2,'male single',none,3,'real estate',47,none,own,2,?,2,none,no,Good,?,07/06/1995,no
"Suffolk, NY",New York,0,?,'delayed previously',furniture/equipment,1591,0,4<=X<7,4,'male single',none,3,'real estate',34,none,own,2,'high qualif/self emp/mgmt',1,none,no,Good,?,07/07/1995,no
"Summit, OH",Ohio,30,12,'existing paid',furniture/equipment,2762,0,?,1,'female div/dep/mar',none,2,'life insurance',25,bank,own,1,skilled,1,yes,yes,Bad,?,07/08/1995,yes
"Franklin, OH",Ohio,183.33,18,'existing paid','used car',2779,87.39,1<=X<4,1,?,none,3,car,21,?,rent,1,skilled,1,?,Unknown,good,?,07/09/1995,Unknown
"Multnomah, OR",Oregon,0,28,'critical/other existing credit',radio/tv,2743,0,>=7,4,'male single',none,2,car,29,none,?,2,skilled,1,none,yes,good,?,07/10/1995,yes
"Dauphin, PA",Pennsylvania,0,18,?,radio/tv,1149,0,?,4,'male single',none,3,'real estate',46,?,own,2,skilled,1,none,no,Bad,?,07/11/1995,no
"Philadelphia, PA",Pennsylvania,0,9,'existing paid',?,1313,0,>=7,1,'male single',none,4,car,20,none,own,1,?,1,none,yes,Bad,?,07/12/1995,yes
"Charleston, SC",South Carolina,-3788.1,18,'critical/other existing credit',repairs,1190,13.37,unemployed,2,'female div/dep/mar',none,4,?,55,none,'for free',3,'unemp/unskilled non res',2,none,Unknown,Good,?,07/13/1995,Unknown
"Greenville, SC",South Carolina,0,5,'existing paid',?,?,0,4<=X<7,1,'male single',none,?,'real estate',74,none,own,1,'unskilled resident',1,none,no,Bad,?,07/14/1995,no
"Davidson, TN",Tennessee,168.65,24,'existing paid',other,11328,56.29,1<=X<4,2,'male single','co applicant',3,car,29,bank,own,2,'high qualif/self emp/mgmt',1,yes,no,Good,?,07/15/1995,no
"Shelby, TN",Tennessee,-2941.81,6,'critical/other existing credit',furniture/equipment,1872,47.8,unemployed,4,'male single',none,4,'no known property',36,none,'for free',3,'high qualif/self emp/mgmt',?,yes,no,good,?,07/16/1995,no
"Tarrant, TX",Texas,0,24,'critical/other existing credit',repairs,2058,0,1<=X<4,4,'male div/sep',?,2,'real estate',33,none,own,2,skilled,1,yes,no,good,?,07/17/1995,no
"Travis, TX",Texas,-9463.67,9,'existing paid',furniture/equipment,2136,0,1<=X<4,3,'male single',?,2,'real estate',25,none,own,1,skilled,1,none,no,Good,?,07/18/1995,no
